name,webName,path
everythingChaperone,,HelpDeskHub
resourceDataBuilder,,AutoServerMonitor
adAPI,,AutoServerMonitor
solarwindsAPI,,AutoServerMonitor
everythingAPI,,AutoServerMonitor
everythingAlertMonitor,,AutoServerMonitor
sitebossHubChaperone,,SitebossHub
sitebossPoller,,SitebossHub
sitebossAPI,,SitebossHub
sitebossHistoryBuilder,,SitebossHub
sitebossSyslogBuilder,,SitebossHub
IPUAPIChaperone_2,,IPU
IPURR_DataBuilder,,IPU
WebSessionAPI,,IPU
IPUAPI,,IPU
IPUOTADataBuilder_multiInstance,,IPU
IPUOTAResultsAPI,,IPU
IPUOTATracker,,IPU
IPUOTAAuto,,IPU
IPUOTAServerDataAutoReload,,IPU
IPUCompareBuilder,,IPU
